AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0.30319792,0.20656821,0.21365711,0.29804257,0.22709353,0.0,0.28070474,0.06749681,1.0,0.19050618,0.60828227,0.09613624,0.28401953,1.0,0.5893285,0.12200641,0.99842274,0.346848,0.044773437,0.28816262
0.46789736,0.24452919,0.8075692,0.30542848,0.26441976,1.0,0.5273377,0.08018923,1.0,0.14890078,0.28077233,0.1645323,0.45746216,1.0,0.62694967,0.36920607,0.6286686,0.19658342,0.1019783,0.54807025
0.37046397,0.22759846,0.4029708,0.38136977,0.20826638,0.0,0.5112816,0.14164598,0.0,0.1839729,0.40998325,0.024240099,0.33627594,1.0,0.44971737,0.25645912,0.6997893,0.2671119,0.3109894,0.24016853
0.32527104,0.14309321,0.6080615,0.35111636,0.33054587,0.0,0.4733127,5.4285847e-05,1.0,0.11639072,0.38363636,0.28274542,0.32646993,1.0,0.46035826,0.21070623,0.9944184,0.3352704,0.059852004,0.23702605
0.3041926,0.21190715,0.48302215,0.3282204,0.3368161,0.0,0.47156194,0.9507096,0.0,0.48815545,0.4547897,0.10387216,0.2805146,1.0,0.57092404,0.081015594,0.9993492,0.7726101,0.10451152,0.58377236
0.41107747,0.34341845,0.35815176,0.36590278,0.18193634,0.0,0.2667807,0.00081568037,1.0,0.17946585,0.36730936,0.21631502,0.5132605,0.0,0.4852893,0.49659118,0.022576818,0.05812722,0.34654582,0.43507248
0.43780407,0.3656511,0.80718154,0.23787628,0.55765295,1.0,0.58040565,0.43924528,1.0,0.6680488,0.47372273,0.29013318,0.23042683,1.0,0.44845685,0.02165902,0.9999647,0.63521004,0.15573563,0.40307453
0.42478278,0.13709539,0.41985267,0.31664506,0.42722398,1.0,0.6206638,0.5999133,0.0,0.30251464,0.42981747,0.12612142,0.31110442,1.0,0.28953016,0.12988971,0.9997745,0.3388487,0.06738193,0.22429493
0.43053344,0.2409913,0.51437557,0.30849618,0.14613971,1.0,0.5044943,0.5871589,1.0,0.18518291,0.3856171,0.16421497,0.34821823,1.0,0.44323084,0.03556875,0.999951,0.8140549,0.25873452,0.4466609
0.58444846,0.5409199,0.4122397,0.3497599,0.8733642,1.0,0.43114904,0.95611525,1.0,0.8550628,0.6960739,0.35111332,0.23560292,1.0,0.30386123,0.033472914,0.9999019,0.6346046,0.08645644,0.8740387
0.33421984,0.1594398,0.42099008,0.25805,0.6682317,0.0,0.43426535,0.1484147,1.0,0.5684387,0.4477315,0.40890804,0.60315096,0.0,0.1939969,0.59437025,0.03678636,0.18227439,0.05779756,0.5231382
0.30829346,0.22853775,0.19725014,0.3830515,0.22678886,0.0,0.27686813,0.7365348,0.0,0.31219524,0.35803545,0.45008203,0.33974206,1.0,0.70697117,0.076173425,0.999071,0.7057745,0.30140308,0.20830394
0.4262705,0.4031357,0.44326094,0.3483733,0.13277611,1.0,0.26190293,0.06312288,1.0,0.039032344,0.15601029,0.27944022,0.38898516,0.0,0.36479273,0.041151233,0.56638277,0.2577581,0.07422585,0.07700812
0.25677833,0.28200474,0.51937324,0.29165933,0.4984899,1.0,0.40036148,0.001032292,0.0,0.5420001,0.6821577,0.06737803,0.36819774,0.0,0.36694315,0.48928505,0.02761487,0.04764309,0.14887285,0.22461793
0.4362219,0.22573179,0.24576214,0.3968386,0.19943635,0.0,0.32446763,0.113601215,1.0,0.100431904,0.32839653,0.39105147,0.38351148,1.0,0.5673272,0.1291437,0.9974589,0.5917959,0.036907796,0.60871965
0.48706493,0.3932125,0.8063273,0.29737738,0.26670608,0.0,0.46805203,0.24053577,0.0,0.2915719,0.25516006,0.36333108,0.3400338,1.0,0.74105585,0.40572172,0.9403902,0.3539542,0.28833964,0.15672666
0.30934757,0.29542685,0.39335048,0.31938654,0.1554005,0.0,0.37585008,0.0488841,1.0,0.060679078,0.60498583,0.085998,0.46282426,0.0,0.35503465,0.45297346,0.9237895,0.11589221,0.26006177,0.12270126
0.4629237,0.44696423,0.15759718,0.48910987,0.25941104,0.0,0.4419501,0.32608253,1.0,0.27727482,0.41479686,0.11073165,0.4742575,0.0,0.6184619,0.30839318,0.40666115,0.08220218,0.047178436,0.25086015
0.44621348,0.5457759,0.75181276,0.38392773,0.27153146,0.0,0.4102481,0.21294527,0.0,0.26578498,0.16176276,0.20565714,0.4774158,0.0,0.3494166,0.31664005,0.25016665,0.050623536,0.5071134,0.33959243
0.42155877,0.23075965,0.49592564,0.30913234,0.36209717,1.0,0.48398164,0.8873206,1.0,0.25457957,0.2510576,0.15096313,0.3246168,1.0,0.77341425,0.05458033,0.99618334,0.5976575,0.21209535,0.41213942
0.23554079,0.12823494,0.841969,0.2607284,0.15646525,1.0,0.30897826,0.29580835,0.0,0.052602008,0.12463512,0.122840516,0.36380902,1.0,0.27729172,0.20854232,0.98531556,0.35059643,0.02289437,0.55913174
0.35121322,0.41715226,0.73443,0.2786596,0.27260858,0.0,0.42640468,0.004447767,0.0,0.27956343,0.49081326,0.09314576,0.3181517,0.0,0.52966964,0.29326016,0.52388024,0.297872,0.405379,0.49291125
0.3410201,0.08870885,0.4985316,0.3195514,0.15717687,0.0,0.25716233,0.24181001,1.0,0.22229321,0.4796658,0.23851432,0.38669148,0.0,0.29302233,0.4825849,0.23981665,0.12705061,0.2538644,0.13039201
0.3393378,0.29864597,0.45186013,0.37234598,0.18921861,0.0,0.48064804,0.025554918,0.0,0.18220921,0.34289092,0.12044133,0.38610336,0.0,0.73417675,0.35803944,0.5142345,0.5187804,0.27159446,0.45067838
0.35869047,0.15499938,0.93440324,0.24633762,0.25979897,1.0,0.62149984,0.17265184,0.0,0.22876191,0.5363715,0.60171187,0.34811985,1.0,0.308647,0.080439486,0.9942872,0.45121756,0.02656061,0.29139656
0.25085926,0.2249042,0.42402056,0.30827546,0.15158421,0.0,0.28322935,0.13964964,0.0,0.07325936,0.36963362,0.17740652,0.42462474,0.0,0.4158773,0.66683406,0.044084713,0.05002974,0.14884691,0.08692602
0.37036386,0.28662956,0.73913735,0.290449,0.3896101,0.0,0.538042,0.77548325,0.0,0.37641206,0.36422932,0.14530142,0.32015526,1.0,0.514165,0.014936859,0.9999527,0.7305129,0.03613943,0.47682086
0.34384736,0.14907466,0.36143067,0.3447312,0.19682379,1.0,0.2854559,0.02404846,0.0,0.13210599,0.2338699,0.15192553,0.49313807,0.0,0.63332015,0.37536606,0.39604452,0.19831257,0.21373372,0.28257486
0.28877175,0.2306871,0.6655069,0.28827477,0.24790713,1.0,0.4822217,0.042282514,0.0,0.11718942,0.2774375,0.45313755,0.444427,1.0,0.2714961,0.3627407,0.2005404,0.093903966,0.12256074,0.74003047
0.3040933,0.19813135,0.21897523,0.32391253,0.26087153,1.0,0.43842924,0.43332583,0.0,0.15016374,0.4591264,0.24712358,0.358186,0.0,0.6006775,0.67205375,0.081745714,0.33427766,0.68010277,0.49533734
0.33639973,0.115135215,0.7299327,0.26159894,0.4877776,1.0,0.3774431,0.2620672,0.0,0.25055614,0.2865499,0.5151718,0.33817074,1.0,0.587777,0.012764961,0.99265337,0.86402875,0.034928802,0.81941235
0.32473862,0.26440015,0.62141055,0.32813898,0.17693456,0.0,0.49128333,0.07601399,1.0,0.05917799,0.24701068,0.16359459,0.45891494,0.0,0.44175568,0.20982482,0.13757458,0.04376737,0.08700116,0.31176722
0.2686987,0.11348352,0.54756993,0.3073019,0.26655802,1.0,0.3146501,0.69138455,1.0,0.14072363,0.28825012,0.06300666,0.332866,0.0,0.28392276,0.3848615,0.4479226,0.11119795,0.064720854,0.18182437
0.32321948,0.22274815,0.58827865,0.3303052,0.14966851,0.0,0.2986109,0.24555378,1.0,0.130647,0.42904767,0.08052099,0.37757057,0.0,0.3045902,0.4984366,0.1135343,0.114329375,0.15585622,0.13659593
0.19701433,0.17338584,0.75744706,0.2808768,0.4097386,1.0,0.810684,0.52927715,1.0,0.23912527,0.2834017,0.2143805,0.53183275,0.0,0.34587237,0.5406766,0.26393119,0.079904474,0.08370593,0.5113637
0.4350077,0.1254799,0.37998027,0.31637985,0.2804657,1.0,0.42027283,0.9157399,1.0,0.29826248,0.2630715,0.4789151,0.38359135,1.0,0.34273276,0.09846691,0.9966605,0.47354338,0.06402878,0.29055837
0.40258995,0.26198173,0.6855997,0.32670158,0.19892803,1.0,0.67664313,0.064019784,0.0,0.1936646,0.19022565,0.5236397,0.5596918,1.0,0.335251,0.31698173,0.052594785,0.12467389,0.047529854,0.53019047
0.31624496,0.19918905,0.63746554,0.28373355,0.4260219,1.0,0.5583472,0.45253906,1.0,0.22951691,0.242692,0.28193483,0.48967415,1.0,0.31781122,0.07386461,0.997408,0.53297466,0.103539646,0.5460171
0.57280385,0.19635227,0.29398814,0.42278665,0.22947136,1.0,0.2838542,0.015802113,1.0,0.18244205,0.1138047,0.20790845,0.4960542,0.0,0.47480297,0.34194678,0.4750979,0.069211684,0.13507508,0.094617836
0.25119102,0.30844983,0.3576702,0.29842722,0.26105827,1.0,0.42977336,0.06013978,0.0,0.2784779,0.36729455,0.31546488,0.24724397,1.0,0.65038526,0.06809441,0.98369825,0.63973975,0.18505582,0.6118413
0.45931798,0.24422145,0.7807647,0.30513048,0.5109357,1.0,0.70168215,0.3391669,1.0,0.58267665,0.25856054,0.43198523,0.30265978,1.0,0.49786335,0.02232607,0.9993013,0.7191883,0.19242968,0.67223895
0.36836076,0.23770986,0.27738786,0.35079902,0.15997596,1.0,0.34089416,0.050755415,1.0,0.063788496,0.41202095,0.4229926,0.4301364,1.0,0.36913824,0.2309181,0.9426967,0.6138622,0.10909812,0.22441271
0.24578524,0.23464218,0.4056835,0.3891504,0.15171212,0.0,0.2388571,0.19090632,1.0,0.15027264,0.5137432,0.36632648,0.43657142,0.0,0.28898963,0.45825556,0.77637446,0.1311486,0.044591907,0.040927235
0.42952538,0.21642984,0.88278335,0.22469744,0.7108515,1.0,0.7580785,0.24116477,0.0,0.68063855,0.38202962,0.2945755,0.40598845,1.0,0.2903735,0.22458982,0.99840695,0.36655954,0.019252794,0.69680184
0.47250706,0.18339744,0.34818986,0.34190354,0.15147075,0.0,0.24815741,0.21350956,1.0,0.11100688,0.5346172,0.43123645,0.45223328,0.0,0.40293783,0.50053906,0.89806,0.13254626,0.22715576,0.14288166
0.37433907,0.28749555,0.70528626,0.28619397,0.2873663,1.0,0.47606295,0.13748777,0.0,0.16089596,0.2903918,0.5147545,0.44886893,1.0,0.70677555,0.49544176,0.35020593,0.33699387,0.3286096,0.68343353
0.22918522,0.26892865,0.45266762,0.30853924,0.26096138,1.0,0.5190407,0.25519043,0.0,0.29074052,0.49723294,0.13896513,0.357988,1.0,0.66304374,0.060406506,0.99829036,0.6217954,0.07018154,0.292646
0.3871202,0.24057324,0.37616962,0.3701834,0.3111885,1.0,0.54450536,0.012112351,0.0,0.1337607,0.19932531,0.19383769,0.3582383,1.0,0.6111674,0.066332296,0.99441963,0.34680063,0.17388976,0.22523396
0.37783572,0.3276024,0.72666466,0.30043015,0.25812355,1.0,0.28848013,0.003802236,0.0,0.20932023,0.2275514,0.6552953,0.32827055,0.0,0.7660693,0.27843952,0.6022515,0.3738419,0.06775267,0.61512065
0.38620722,0.3720267,0.6901754,0.2693325,0.42133796,1.0,0.61599016,0.344374,0.0,0.17677434,0.7662916,0.5791354,0.50450194,0.0,0.5140479,0.52684736,0.16767381,0.14267516,0.056156605,0.50802714
0.33490285,0.24975318,0.7639675,0.29850087,0.2435325,1.0,0.5175739,0.024815377,0.0,0.24638344,0.2707972,0.08864655,0.33995745,0.0,0.639075,0.2195707,0.8452243,0.11516335,0.5046803,0.40242547
0.40036792,0.31673124,0.500976,0.29328448,0.31950217,0.0,0.57492447,0.046129923,1.0,0.14677899,0.6642799,0.27145973,0.43006867,1.0,0.5915598,0.50771946,0.594937,0.18226135,0.18722798,0.18378018
0.31765825,0.32919994,0.23492742,0.31463236,0.4199889,1.0,0.52091086,0.06256321,0.0,0.23002443,0.31427822,0.15790312,0.47981185,0.0,0.4891328,0.17674197,0.98329663,0.15675944,0.25777984,0.3071685
0.48836395,0.24684317,0.6149519,0.2772474,0.30739716,1.0,0.6105758,0.13010086,0.0,0.090515085,0.45452186,0.3989378,0.34514827,0.0,0.7123615,0.21851625,0.8794525,0.26371375,0.29587513,0.54287654
0.43037996,0.17169619,0.4857605,0.30750972,0.23877095,0.0,0.25320137,0.04355221,1.0,0.08465674,0.4890221,0.0915108,0.33798075,0.0,0.29989108,0.46277094,0.6718767,0.10415405,0.0388316,0.14612387
0.31646454,0.19345771,0.43387505,0.33657122,0.2703988,1.0,0.46163216,0.7465564,1.0,0.32643768,0.25223562,0.76032007,0.44991127,0.0,0.3188847,0.43600258,0.9203752,0.18579234,0.45233446,0.20972992
0.22227262,0.19474375,0.36618075,0.30633965,0.33752996,1.0,0.5798535,0.84960395,1.0,0.6310874,0.528699,0.34738854,0.3626487,1.0,0.56320196,0.15697205,0.9993111,0.7166738,0.03734646,0.2778608
0.34312144,0.2575752,0.3706827,0.27634674,0.29438996,0.0,0.39365476,0.07581258,0.0,0.2510746,0.34454092,0.09014038,0.29193237,1.0,0.7342569,0.059049115,0.9922443,0.7274852,0.18770523,0.42501888
0.276585,0.24886459,0.3353774,0.3364591,0.3186931,0.0,0.43020487,0.6179426,1.0,0.41156545,0.25280613,0.22964755,0.27676547,1.0,0.39411697,0.014420428,0.9793144,0.7109964,0.07297379,0.075362384
0.37137815,0.2527263,0.8137349,0.3557837,0.2555404,0.0,0.27780473,0.10773742,1.0,0.47624663,0.23752926,0.18005086,0.51319814,0.0,0.6890754,0.3940026,0.63678837,0.08740773,0.1860753,0.35304263
0.2553072,0.15325299,0.47103083,0.36268,0.16067961,0.0,0.33420596,0.0065702195,0.0,0.1151851,0.19887073,0.33738434,0.34932214,0.0,0.29396757,0.11538257,0.5196744,0.11898634,0.101283684,0.16151537
0.3179503,0.38062674,0.073303364,0.47622046,0.17439616,0.0,0.31536323,0.021856572,0.0,0.0847291,0.13992365,0.17281944,0.3203707,0.0,0.47083148,0.22056988,0.6657209,0.15802617,0.20456803,0.24772762
0.414048,0.21022563,0.5562244,0.46661887,0.1609717,1.0,0.408329,0.020988354,0.0,0.17944077,0.13100033,0.30408445,0.31786668,1.0,0.54591906,0.05733531,0.90165377,0.09879817,0.21578541,0.15174676
0.36535594,0.2666332,0.9643141,0.24124928,0.3619563,1.0,0.8028817,0.033397596,1.0,0.22915903,0.37235472,0.22875163,0.42313525,1.0,0.26742646,0.47777733,0.99588096,0.38519567,0.036701147,0.8649568
0.22112559,0.15545422,0.3545217,0.30408856,0.27303788,1.0,0.40671605,0.014611605,1.0,0.11478376,0.19904707,0.15683556,0.5085391,0.0,0.36162674,0.21748503,0.2248074,0.06254291,0.47684032,0.5783147
0.4120858,0.3288747,0.6698913,0.44390577,0.28295043,0.0,0.4648479,0.009040386,0.0,0.27613118,0.31575188,0.2652022,0.44902804,1.0,0.48521885,0.2048187,0.38402715,0.06439964,0.25570285,0.32500896
0.22900388,0.30137506,0.4076633,0.35717663,0.315569,0.0,0.40827703,0.78193575,0.0,0.22124204,0.18285091,0.32085496,0.3359482,1.0,0.57000935,0.034974795,0.9978948,0.7029959,0.022115491,0.22183253
0.4976505,0.3057619,0.5727525,0.2877597,0.29245725,1.0,0.51832944,0.41918328,0.0,0.35778907,0.653841,0.20465386,0.3646959,1.0,0.77137214,0.40282297,0.9983777,0.5479142,0.36118448,0.8916382
0.377395,0.33540297,0.31330985,0.30235353,0.15075715,0.0,0.44640428,0.073864914,0.0,0.15084268,0.260403,0.036017552,0.3596624,0.0,0.29887998,0.15691906,0.7480745,0.16340917,0.32103607,0.5309822
0.4428809,0.31571615,0.3944278,0.37701032,0.22004186,1.0,0.45878378,0.22442567,1.0,0.27084514,0.29174024,0.25588268,0.38150898,1.0,0.62034243,0.14562452,0.99028975,0.6876641,0.5292006,0.41979763
0.4527361,0.22250015,0.17122418,0.6369389,0.07104762,0.0,0.1974375,0.24770145,1.0,0.07547794,0.35162508,0.5956378,0.4197001,1.0,0.71464753,0.14682738,0.97323143,0.31125316,0.083504744,0.14224704
0.26897898,0.22625703,0.3375358,0.33781967,0.31294566,0.0,0.30689156,0.027234089,0.0,0.23055579,0.30043426,0.059412383,0.30394596,1.0,0.70119256,0.113477536,0.9961196,0.5188034,0.5389124,0.41674292
0.32114464,0.20647116,0.8386548,0.24266256,0.42164868,1.0,0.68267334,0.7269338,0.0,0.32487532,0.38654947,0.57463753,0.5066052,1.0,0.29061627,0.19799669,0.9987205,0.36908686,0.015615648,0.7441219
0.3511425,0.21522309,0.41787,0.3416414,0.2850809,0.0,0.4698184,0.02325173,0.0,0.39314622,0.35122243,0.22203393,0.52429944,0.0,0.2506222,0.7086732,0.034406707,0.046581563,0.13663001,0.14558506
0.357501,0.15666704,0.35290024,0.31439486,0.3002183,0.0,0.34538874,0.034347784,0.0,0.19015893,0.6312537,0.41351327,0.4316308,1.0,0.44347847,0.14533332,0.9905295,0.51104945,0.1460705,0.3696109
0.38947755,0.33314928,0.45515785,0.26912975,0.54302686,1.0,0.48811722,0.27373064,1.0,0.7004303,0.5184598,0.50610703,0.287018,1.0,0.4849301,0.025718756,0.98958325,0.7456903,0.32772812,0.44232225
0.41310117,0.32241142,0.32819295,0.26288858,0.41151354,1.0,0.46485084,0.16875991,0.0,0.52681845,0.5049713,0.33396372,0.27058783,1.0,0.24368758,0.014610858,0.99985504,0.6939867,0.052744735,0.61153126
0.5149219,0.36010593,0.55860084,0.34257713,0.44537464,0.0,0.6647107,0.27685386,0.0,0.14267947,0.3601323,0.20207857,0.28046957,1.0,0.5333552,0.029540274,0.9981475,0.32224008,0.053715874,0.4100051
0.41376203,0.24281667,0.7945854,0.41121763,0.5548947,1.0,0.6039094,0.2442483,1.0,0.5239275,0.26860505,0.3041632,0.35326082,1.0,0.6184236,0.020208715,0.9998241,0.6613574,0.032500584,0.34195942
